numHaps	5
theta	0.008
popSizes	100.0,0.1,1.0
epochTimes	0.5,0.58
rhos	1.0
%
rho	1.0
config	0.0	0.125	0.25	0.375	0.5	0.52	0.54	0.56	0.58
0 0 0 10	:	0.235541935497	0.235541935497	0.238629392515	0.241782879771	0.245004313726	0.245004313726	0.243787539506	0.242060675646	0.239021341285
0 0 1 9	:	0.000522723128352	0.000522723128352	0.000376470320628	0.000223993336336	6.50262931532e-05	6.50262931532e-05	8.04525896021e-05	0.000110074823972	0.000211829816408
0 0 2 8	:	1.40752167858e-05	1.40752167858e-05	1.30407001808e-05	1.2421433875e-05	1.22531642765e-05	1.22531642765e-05	1.53382838888e-05	2.00665147338e-05	2.66434714635e-05
0 0 3 7	:	4.26173263068e-06	4.26173263068e-06	4.27871782595e-06	4.30211980555e-06	4.32913926925e-06	4.32913926925e-06	5.39293719433e-06	6.70558480135e-06	7.63044102331e-06
0 0 4 6	:	2.36390900251e-06	2.36390900251e-06	2.37908988349e-06	2.39458090644e-06	2.41033089784e-06	2.41033089784e-06	2.98627380024e-06	3.58701171057e-06	3.81925458626e-06
0 0 5 5	:	1.95472033634e-06	1.95472033634e-06	1.96743449683e-06	1.98034025406e-06	1.99343978657e-06	1.99343978657e-06	2.4645259875e-06	2.92483476089e-06	3.0563522647e-06
0 0 6 4	:	2.36390900251e-06	2.36390900251e-06	2.37908988349e-06	2.39458090644e-06	2.41033089784e-06	2.41033089784e-06	2.98627380024e-06	3.58701171057e-06	3.81925458626e-06
0 0 7 3	:	4.26173263068e-06	4.26173263068e-06	4.27871782595e-06	4.30211980555e-06	4.32913926925e-06	4.32913926925e-06	5.39293719433e-06	6.70558480135e-06	7.63044102331e-06
0 0 8 2	:	1.40752167858e-05	1.40752167858e-05	1.30407001808e-05	1.2421433875e-05	1.22531642765e-05	1.22531642765e-05	1.53382838888e-05	2.00665147338e-05	2.66434714635e-05
0 0 9 1	:	0.000522723128352	0.000522723128352	0.000376470320628	0.000223993336336	6.50262931532e-05	6.50262931532e-05	8.04525896021e-05	0.000110074823972	0.000211829816408
0 0 10 0	:	0.235541935497	0.235541935497	0.238629392515	0.241782879771	0.245004313726	0.245004313726	0.243787539506	0.242060675646	0.239021341285
0 1 0 9	:	0.000522723128352	0.000522723128352	0.000376470320628	0.000223993336336	6.50262931532e-05	6.50262931532e-05	8.04525896021e-05	0.000110074823972	0.000211829816408
0 1 1 8	:	1.16655263735e-06	1.16655263735e-06	5.96055244141e-07	2.05325363058e-07	1.04487465831e-08	1.04487465831e-08	1.69731087142e-08	3.72057959646e-08	1.75203805201e-07
0 1 2 7	:	3.01173057097e-08	3.01173057097e-08	1.93532928242e-08	1.02028270561e-08	1.88494328386e-09	1.88494328386e-09	3.22628302562e-09	7.00741668601e-09	2.20559072704e-08
0 1 3 6	:	9.02837260476e-09	9.02837260476e-09	6.31073264437e-09	3.53491900588e-09	6.85348675677e-10	6.85348675677e-10	1.18553344118e-09	2.44497815891e-09	6.33806814823e-09
0 1 4 5	:	5.02559812827e-09	5.02559812827e-09	3.52916472029e-09	1.99008004285e-09	4.06660989775e-10	4.06660989775e-10	7.01588952779e-10	1.36823135508e-09	3.19067147146e-09
0 1 5 4	:	4.18260035338e-09	4.18260035338e-09	2.94668966466e-09	1.67599711072e-09	3.69397224051e-10	3.69397224051e-10	6.32374579733e-10	1.17341074512e-09	2.57681895353e-09
0 1 6 3	:	5.10954475031e-09	5.10954475031e-09	3.61678500757e-09	2.08368045692e-09	5.08966036828e-10	5.08966036828e-10	8.62581997058e-10	1.53835500244e-09	3.26852798198e-09
0 1 7 2	:	9.36370077704e-09	9.36370077704e-09	6.66786676446e-09	3.91619820689e-09	1.10089120801e-09	1.10089120801e-09	1.84361001589e-09	3.19585680319e-09	6.70370475872e-09
0 1 8 1	:	3.12518821049e-08	3.12518821049e-08	2.14003832328e-08	1.25442518907e-08	4.14058174359e-09	4.14058174359e-09	6.82544578961e-09	1.16133002298e-08	2.46673115096e-08
0 1 9 0	:	1.56092795592e-06	1.56092795592e-06	1.02295005241e-06	6.75158363295e-07	5.32151935379e-07	5.32151935379e-07	6.22158949125e-07	7.15293651112e-07	8.90610242295e-07
0 2 0 8	:	1.40752167858e-05	1.40752167858e-05	1.30407001808e-05	1.2421433875e-05	1.22531642765e-05	1.22531642765e-05	1.53382838888e-05	2.00665147338e-05	2.66434714635e-05
0 2 1 7	:	3.01173057097e-08	3.01173057097e-08	1.93532928242e-08	1.02028270561e-08	1.88494328386e-09	1.88494328386e-09	3.22628302562e-09	7.00741668601e-09	2.20559072704e-08
0 2 2 6	:	7.49329538369e-10	7.49329538369e-10	5.49000813674e-10	4.28136644667e-10	3.93379595694e-10	3.93379595694e-10	7.10381813773e-10	1.51758851385e-09	3.17903146033e-09
0 2 3 5	:	1.99207959648e-10	1.99207959648e-10	1.76664252007e-10	1.66381409113e-10	1.69046778654e-10	1.69046778654e-10	3.07475132063e-10	6.19773998554e-10	1.06372452012e-09
0 2 4 4	:	1.30168340239e-10	1.30168340239e-10	1.20243575143e-10	1.17334058013e-10	1.22335712708e-10	1.22335712708e-10	2.20548889842e-10	4.17859741502e-10	6.42642956712e-10
0 2 5 3	:	1.37367447789e-10	1.37367447789e-10	1.31491395265e-10	1.3262643589e-10	1.41809093833e-10	1.41809093833e-10	2.51502400422e-10	4.50737164559e-10	6.52661538599e-10
